P1,E1,E2,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,E3,E4,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24S,M1S,M2,M3,M4,E5S,E6S,E7,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119S,M120,M121S,Target
20,34.6,71,Feature3-D,Feature4-E,6,5,5,5,6,5,5,43,5,5,5,33,70.5,5,27,27,0,517,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,21.33,5.383300214,4.463145693,-0.92015452,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,205,9,0
20,35,70,Feature3-E,Feature4-G,6,5,5,5,5,5,33,5,5,5,5,32,71,5,27,27,0,517,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,21.33,5.060116536,4.267117886,-0.79299865,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,205,9,0
20,40.1,70.4,Feature3-C,Feature4-D,8,5,14,7,5,7,5,5,11,6,6,38.4,70.1,5,27,27,0,508,Feature23-A,FALSE,Feature25-A,Feature26-A,14,47.87,37.3,22.62,97.49,7.220071217,6.443256755,-0.776814462,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,4.7528,2.596,2.1568,0.39,3.6939,1.5371,19.4308,25.8051,24.7,5,158.8,49.4,5.3,169.7,726,1.74,70.2,0.1088,1.0092,0,0,31.6464,29.4448,2.54,2.2016,46.8,3.2797,1.7692,1.4257,1.21,1.078,49.3,2.596,4.7528,41.61,3.6939,49.4,486,13.4,0.44,70.2,0.109,0.2509,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,337,200,8,0
20,35.1,70.6,Feature3-C,Feature4-D,5,5,5,5,5,8,5,6,5,6,5,33.5,72.6,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,12,47.87,95.6,22.62,97.49,5.394020849,5.697384372,0.303363524,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,4.7528,2.596,2.1568,0.39,3.6939,1.5371,19.4308,25.8051,24.7,5,158.8,49.4,5.3,169.7,726,1.74,70.2,0.1088,1.0092,0,0,31.6464,29.4448,2.54,2.2016,46.8,3.2797,1.7692,1.4257,1.21,1.078,49.3,2.596,4.7528,41.61,3.6939,49.4,486,13.4,0.44,70.2,0.109,0.2509,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,337,200,8,0
20,34.8,70.9,Feature3-D,Feature4-E,6,36,6,5,5,30,5,5,5,5,5,34.9,70.5,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,12,124.4,95.6,22.62,21.33,5.417252384,5.263236632,-0.154015752,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,4.7528,2.596,2.1568,0.39,3.6939,1.5371,19.4308,25.8051,24.7,5,158.8,49.4,5.3,169.7,726,1.74,70.2,0.1088,1.0092,0,0,31.6464,29.4448,2.54,2.2016,46.8,3.2797,1.7692,1.4257,1.21,1.078,49.3,2.596,4.7528,41.61,3.6939,49.4,486,13.4,0.44,70.2,0.109,0.2509,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,37,346,201,8,0
30,35.2,71,Feature3-C,Feature4-F,6,6,6,6,5,6,5,6,6,5,5,32.2,70,5,26,26,0,517,Feature23-A,FALSE,Feature25-A,Feature26-A,13,23.42,204.6,22.62,21.33,5.63023401,3.871987541,-1.758246469,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,3.8399,1.6673,2.1726,0.39,3.5529,1.3803,20.0228,25.1714,20.45,5.2,162.4,50,5,159.9,716,1.7,69.6,0.1061,0.9975,0,0,31.6251,29.4446,2.54,2.1805,50.8,3.1909,1.8869,1.4998,1.21,1.0103,50.7,1.6673,3.8399,38.76,3.5529,47.4,487,13.6,0.43,70.2,0.107,0.251,16.1,257.6,48.3,16.7,266.4,520,3.1,69.6,0.0968,1.002,18.372,58,31.1103,3.4567,1.21,2.0413,18.372,3.4567,35,2.2467,0.013,0.2054,49.3,515,16.2,0.38,69.4,0.095,0.251,0,3.4695,3.4733,0.11,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,345,205,9,0
25,40.1,70.1,Feature3-B,Feature4-B,5,32,8,7,11,5,11,14,21,5,6,40.1,70.1,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,12,124.4,95.6,22.62,21.33,7.071382362,7.071382362,0,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,4.7528,2.596,2.1568,0.39,3.6939,1.5371,19.4308,25.8051,24.7,5,158.8,49.4,5.3,169.7,726,1.74,70.2,0.1088,1.0092,0,0,31.6464,29.4448,2.54,2.2016,46.8,3.2797,1.7692,1.4257,1.21,1.078,49.3,2.596,4.7528,41.61,3.6939,49.4,486,13.4,0.44,70.2,0.109,0.2509,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,37,346,201,8,0
20,35.5,70.5,Feature3-C,Feature4-C,20,5,5,5,13,9,33,7,6,12,6,35.2,70.2,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,12,124.4,95.6,22.62,21.33,5.50783982,5.239431522,-0.268408298,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,4.7528,2.596,2.1568,0.39,3.6939,1.5371,19.4308,25.8051,24.7,5,158.8,49.4,5.3,169.7,726,1.74,70.2,0.1088,1.0092,0,0,31.6464,29.4448,2.54,2.2016,46.8,3.2797,1.7692,1.4257,1.21,1.078,49.3,2.596,4.7528,41.61,3.6939,49.4,486,13.4,0.44,70.2,0.109,0.2509,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,37,346,201,8,0
21,33,71,Feature3-E,Feature4-G,16,5,29,5,15,10,5,11,13,10,5,35,70,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,12,124.4,95.6,22.62,21.33,4.705662406,5.060116536,0.354454129,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,4.7528,2.596,2.1568,0.39,3.6939,1.5371,19.4308,25.8051,24.7,5,158.8,49.4,5.3,169.7,726,1.74,70.2,0.1088,1.0092,0,0,31.6464,29.4448,2.54,2.2016,46.8,3.2797,1.7692,1.4257,1.21,1.078,49.3,2.596,4.7528,41.61,3.6939,49.4,486,13.4,0.44,70.2,0.109,0.2509,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,37,346,201,8,0
20,41.8,70.5,Feature3-D,Feature4-E,7,7,18,9,5,8,7,39,7,32,11,37,70.2,5,26,26,0,508,Feature23-A,FALSE,Feature25-A,Feature26-A,14,47.87,37.3,22.62,97.49,7.875396242,5.956234355,-1.919161887,18.5852,25.1884,26.22,3.79,106.2,47.5,479,1.73,69.8,0.1079,1.006,0,3.0193,5.0903,40.7,48,1.007,300,8.3,0.545,69.2,0.109,0.25,0,0,0,4.7528,2.596,2.1568,0.39,3.6939,1.5371,19.4308,25.8051,24.7,5,158.8,49.4,5.3,169.7,726,1.74,70.2,0.1088,1.0092,0,0,31.6464,29.4448,2.54,2.2016,46.8,3.2797,1.7692,1.4257,1.21,1.078,49.3,2.596,4.7528,41.61,3.6939,49.4,486,13.4,0.44,70.2,0.109,0.2509,16,256.4,50.2,16.6,266.6,517,3.07,70.4,0.0962,1.0021,18.1026,57.7,30.7035,3.4115,1.1951,2.0114,18.1026,3.4115,35,2.2164,0.013,0.205,48.9,503,16.1,0.376,70.7,0.0938,0.25,0,3.4493,3.4533,0.114,0.0011,13.2495,16.2969,18.7,73,2.0447,4.7005,57,1.8369,2.0478,10.29,35,337,200,8,0
