P1,E1,E2,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,E3,E4,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24S,M1S,M2,M3,M4,E5S,E6S,E7,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119S,M120,M121S,Target
20,33.9,69.05,Feature3-B,Feature4-B,5,8,6,5,6,14,12,6,5,8,5,27.8,71.7,5,26,25,1,493,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,30.64,19.63,165.03,4.141368734,2.613642632,-1.527726102,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,337,201,8,0
20,36.9,71.06,Feature3-E,Feature4-G,8,6,6,5,5,7,5,12,5,34,5,36.9,72.25,7,26,26,0,486,Feature23-A,FALSE,Feature25-A,Feature26-A,12,69.28,38.51,19.63,43.75,6.339516471,6.923514097,0.583997626,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.3,299.9,49.5,18,313,595,3.04,67.5,0.0951,1.0001,18.5442,57.5,30.795,3.4217,1.1615,2.0605,18.5442,3.4217,33.9,2.2602,0.0123,0.1997,48.9,512,16,0.384,67.5,0.0956,0.2499,0,3.421,3.4242,0.094,0.0009,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,34,334,203,8,0
20,39,71,Feature3-B,Feature4-B,5,5,5,5,5,6,5,8,5,40,5,41,71,5,26,26,0,494,Feature23-A,FALSE,Feature25-A,Feature26-A,11,69.28,38.51,19.63,43.75,7.112359012,7.841472072,0.72911306,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.3,299.9,49.5,18,313,595,3.04,67.5,0.0951,1.0001,18.5442,57.5,30.795,3.4217,1.1615,2.0605,18.5442,3.4217,33.9,2.2602,0.0123,0.1997,48.9,512,16,0.384,67.5,0.0956,0.2499,0,3.421,3.4242,0.094,0.0009,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,34,334,203,8,1
22,40,70,Feature3-C,Feature4-C,5,5,9,10,5,10,6,13,6,9,8,40,70,5,26,26,0,494,Feature23-A,FALSE,Feature25-A,Feature26-A,11,69.28,30.64,19.63,43.75,6.985541724,6.985541724,0,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.3,299.9,49.5,18,313,595,3.04,67.5,0.0951,1.0001,18.5442,57.5,30.795,3.4217,1.1615,2.0605,18.5442,3.4217,33.9,2.2602,0.0123,0.1997,48.9,512,16,0.384,67.5,0.0956,0.2499,0,3.421,3.4242,0.094,0.0009,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,34,334,203,8,1
20,41.2,70.5,Feature3-D,Feature4-E,5,5,10,6,10,10,8,9,5,9,6,37.5,71,5,26,26,0,486,Feature23-A,FALSE,Feature25-A,Feature26-A,12,69.28,38.51,19.63,43.75,7.664141442,6.543352731,-1.120788711,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.3,299.9,49.5,18,313,595,3.04,67.5,0.0951,1.0001,18.5442,57.5,30.795,3.4217,1.1615,2.0605,18.5442,3.4217,33.9,2.2602,0.0123,0.1997,48.9,512,16,0.384,67.5,0.0956,0.2499,0,3.421,3.4242,0.094,0.0009,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,34,334,203,8,0
20,34.8,70.2,Feature3-D,Feature4-E,6,9,8,5,14,13,34,12,22,5,5,37,71.2,5,26,26,0,497,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,38.51,19.63,43.75,5.075717767,6.447385931,1.371668164,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,338,201,8,0
20,38.9,71.5,Feature3-C,Feature4-F,6,6,8,6,6,6,8,8,6,6,7,46.5,71.6,5,26,25,1,494,Feature23-A,FALSE,Feature25-A,Feature26-A,11,69.28,30.64,19.63,43.75,7.321895228,9.996771089,2.674875861,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.3,299.9,49.5,18,313,595,3.04,67.5,0.0951,1.0001,18.5442,57.5,30.795,3.4217,1.1615,2.0605,18.5442,3.4217,33.9,2.2602,0.0123,0.1997,48.9,512,16,0.384,67.5,0.0956,0.2499,0,3.421,3.4242,0.094,0.0009,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,34,334,203,8,1
21,34.5,71.2,Feature3-C,Feature4-C,8,5,6,5,6,10,5,6,5,12,5,36,71.6,5,26,26,0,497,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,38.51,19.63,43.75,5.439233902,6.247424234,0.808190332,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,338,201,8,0
21,34,70.3,Feature3-C,Feature4-D,8,5,5,5,5,5,5,5,5,5,6,33.1,71.9,5,26,26,0,497,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,38.51,19.63,43.75,4.791872975,5.185366529,0.393493553,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,338,201,8,0
20,35.17,70.47,Feature3-A,Feature4-A,6,5,38,10,6,13,38,14,12,5,5,36.5,71.4,5,26,25,1,497,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,38.51,19.63,43.75,5.359113229,6.348765312,0.989652083,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,338,201,8,0
20,34.6,70.3,Feature3-C,Feature4-F,5,49,10,9,8,6,5,5,7,21,6,36.1,71.6,5,26,26,0,497,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,38.51,19.63,43.75,5.041999307,6.287497168,1.245497861,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,338,201,8,0
20,32.2,70.7,Feature3-E,Feature4-G,5,5,5,5,5,6,5,5,5,17,5,36,71.57,5,27,26,1,497,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,38.51,19.63,43.75,4.210680932,6.232740896,2.022059965,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,338,201,8,1
20,34.7,70.9,Feature3-B,Feature4-B,25,5,8,5,8,6,8,5,5,5,6,42.2,70.2,6,26,26,0,497,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,38.51,19.63,43.75,5.375954747,7.865218955,2.489264209,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,338,201,8,0
21,40,70,Feature3-C,Feature4-C,5,7,6,10,8,14,10,8,20,14,7,40,70,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,14,105.96,30.64,19.63,165.03,6.985541724,6.985541724,0,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.3,299.9,49.5,18,313,595,3.04,67.5,0.0951,1.0001,18.5442,57.5,30.795,3.4217,1.1615,2.0605,18.5442,3.4217,33.9,2.2602,0.0123,0.1997,48.9,512,16,0.384,67.5,0.0956,0.2499,0,3.421,3.4242,0.094,0.0009,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,34,339,204,8,1
21,35.9,71.6,Feature3-C,Feature4-D,15,6,6,17,5,5,5,16,31,10,19,37,71.4,5,26,26,0,493,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,139.29,19.63,165.03,6.207252073,6.545584683,0.338332611,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,343,203,9,0
21,34.5,69.6,Feature3-A,Feature4-A,6,9,23,11,13,12,14,11,16,9,7,36.7,72.6,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,139.29,19.63,165.03,4.659257171,7.016223776,2.356966604,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,343,203,9,0
20,39,70.7,Feature3-E,Feature4-G,12,12,6,5,5,5,5,5,19,5,5,39.5,71.1,5,26,26,0,493,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,30.64,19.63,165.03,6.964170879,7.347163155,0.382992276,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,337,201,8,0
20,38.3,71.4,Feature3-D,Feature4-E,8,6,6,19,6,11,12,12,26,6,16,37.5,71.5,7,27,27,0,493,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,139.29,19.63,165.03,7.046447091,6.789218336,-0.257228756,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,343,203,9,0
20,33.3,69.7,Feature3-C,Feature4-F,9,6,12,14,13,15,36,5,5,6,5,35,71.3,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,139.29,19.63,165.03,4.203610672,5.694757731,1.491147059,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,343,203,9,0
23,34.5,70,Feature3-D,Feature4-E,8,7,10,7,5,9,10,11,8,9,14,35.9,72,5,26,25,1,496,Feature23-A,FALSE,Feature25-A,Feature26-A,14,84.75,139.29,19.63,165.03,4.854315561,6.402947347,1.548631786,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,343,203,9,0
20,39,71,Feature3-C,Feature4-F,6,5,36,5,5,5,5,5,5,5,14,39.4,70.8,5,26,26,0,430,Feature23-A,FALSE,Feature25-B,Feature26-A,10,84.75,30.64,19.63,165.03,7.112359012,7.161901378,0.049542366,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.5,261.6,48.9,18.3,273,516,3.01,69.8,0.094,1.0069,18.6363,57.5,31.1994,3.4666,1.1915,2.0707,18.6363,3.4666,34.4,2.2751,0.013,0.2044,48.1,484,15.4,0.376,69.6,0.094,0.2499,0,3.4575,3.4598,0.065,0.0006,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,35,337,201,8,0
21,32.5,71,Feature3-B,Feature4-B,7,7,9,5,10,14,8,18,36,24,8,30.8,72.68,5,26,26,0,496,Feature23-A,FALSE,Feature25-A,Feature26-A,14,105.96,30.64,19.63,165.03,4.487893157,4.532704734,0.044811577,19.0173,25.4503,25.28,3.55,103.1,49.2,461,1.81,70.6,0.1125,1.0031,0,3.0476,5.1276,40.6,47.6,1.009,312,8.3,0.56,69,0.112,0.25,0,0,0,4.3529,2.2093,2.1437,0.38,3.4355,1.2918,19.1388,24.5276,21.97,5.2,168.2,51,5.4,175.9,750,1.7,68.6,0.1062,1.0065,0,0,31.6355,29.4436,2.54,2.1919,47.8,3.2512,1.8004,1.4447,1.21,1.0593,49.6,2.2093,4.3529,37.56,3.4355,48.1,492,13.8,0.43,68.6,0.107,0.2495,17.3,299.9,49.5,18,313,595,3.04,67.5,0.0951,1.0001,18.5442,57.5,30.795,3.4217,1.1615,2.0605,18.5442,3.4217,33.9,2.2602,0.0123,0.1997,48.9,512,16,0.384,67.5,0.0956,0.2499,0,3.421,3.4242,0.094,0.0009,13.4078,16.6217,19.34,77,2.0253,4.7151,57,1.834,2.081,11.87,34,339,204,8,0
